------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 58698
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 72.0-73.0 sec  3.17 MBytes  26.6 Mbits/sec   0.711 ms    1/ 2261 (0.044%)
[  3] 73.0-74.0 sec  4.07 MBytes  34.1 Mbits/sec   1.029 ms    1/ 2902 (0.034%)
[  3] 74.0-75.0 sec  3.41 MBytes  28.6 Mbits/sec   0.812 ms    4/ 2439 (0.16%)
[  3] 75.0-76.0 sec  3.78 MBytes  31.7 Mbits/sec   0.961 ms    2/ 2700 (0.074%)
[  3] 76.0-77.0 sec  3.26 MBytes  27.3 Mbits/sec   1.131 ms    2/ 2324 (0.086%)
[  3] 77.0-78.0 sec  3.79 MBytes  31.8 Mbits/sec   1.444 ms    0/ 2703 (0%)
[  3] 78.0-79.0 sec  4.12 MBytes  34.6 Mbits/sec   4.157 ms    0/ 2939 (0%)
[  3] 79.0-80.0 sec  2.78 MBytes  23.3 Mbits/sec   4.028 ms    2/ 1983 (0.1%)
[  3] 80.0-81.0 sec  3.18 MBytes  26.6 Mbits/sec   2.379 ms    1/ 2266 (0.044%)
[  3] 81.0-82.0 sec  3.41 MBytes  28.6 Mbits/sec   4.436 ms    1/ 2434 (0.041%)
[  3] 82.0-83.0 sec  3.88 MBytes  32.5 Mbits/sec   1.329 ms    1/ 2766 (0.036%)
[  3] 83.0-84.0 sec  3.79 MBytes  31.8 Mbits/sec   2.586 ms    1/ 2704 (0.037%)
[  3] 84.0-85.0 sec  3.92 MBytes  32.8 Mbits/sec   2.515 ms    0/ 2793 (0%)
[  3] 85.0-86.0 sec  4.07 MBytes  34.1 Mbits/sec   1.288 ms    1/ 2902 (0.034%)
[  3] 86.0-87.0 sec  2.82 MBytes  23.7 Mbits/sec   0.918 ms    1/ 2014 (0.05%)
[  3] 87.0-88.0 sec  4.09 MBytes  34.3 Mbits/sec   4.490 ms    1/ 2921 (0.034%)
[  3] 88.0-89.0 sec  3.28 MBytes  27.5 Mbits/sec   1.122 ms    2/ 2342 (0.085%)
[  3] 89.0-90.0 sec  3.70 MBytes  31.1 Mbits/sec   0.938 ms    0/ 2641 (0%)
[  3] 90.0-91.0 sec  3.84 MBytes  32.2 Mbits/sec   1.657 ms    1/ 2742 (0.036%)
[  3] 91.0-92.0 sec  3.29 MBytes  27.6 Mbits/sec   0.885 ms    1/ 2350 (0.043%)
[  3] 92.0-93.0 sec  3.89 MBytes  32.7 Mbits/sec   0.381 ms    1/ 2779 (0.036%)
[  3] 93.0-94.0 sec  3.40 MBytes  28.5 Mbits/sec   0.910 ms    2/ 2428 (0.082%)
[  3] 94.0-95.0 sec  3.86 MBytes  32.4 Mbits/sec   2.661 ms    1/ 2755 (0.036%)
[  3] 95.0-96.0 sec  3.89 MBytes  32.6 Mbits/sec   0.946 ms    1/ 2774 (0.036%)
